EMAIL	DOMAIN	SOURCE_URL	HUB
charlotte@sokoglam.com	sokoglam.com	https://thenimetyou.com	https://www.shopify.com/blog/shopify-stores
recallteam@cowboy.com	cowboy.com	https://cowboy.com	https://www.shopify.com/blog/shopify-stores
press@cowboy.com	cowboy.com	https://cowboy.com	https://www.shopify.com/blog/shopify-stores
partner@cowboy.com	cowboy.com	https://cowboy.com	https://www.shopify.com/blog/shopify-stores
hello@cowboy.com	cowboy.com	https://cowboy.com	https://www.shopify.com/blog/shopify-stores
recipient@giftnote.com	giftnote.com	https://rothys.com	https://www.shopify.com/blog/shopify-stores
customercare@manitobah.ca	manitobah.ca	https://manitobah.com	https://www.shopify.com/blog/shopify-stores
partners@beneathyourmask.com	beneathyourmask.com	https://beneathyourmask.com/pages/contact	https://www.shopify.com/blog/shopify-stores
support@beneathyourmask.com	beneathyourmask.com	https://beneathyourmask.com/pages/contact	https://www.shopify.com/blog/shopify-stores
hello@beneathyourmask.com	beneathyourmask.com	https://beneathyourmask.com/pages/contact	https://www.shopify.com/blog/shopify-stores
pr@pelacase.com	pelacase.com	https://pelacase.ca/contact	https://www.shopify.com/blog/shopify-stores
collab@pelacase.com	pelacase.com	https://pelacase.ca/contact	https://www.shopify.com/blog/shopify-stores
hello@pelacase.com	pelacase.com	https://pelacase.ca/contact	https://www.shopify.com/blog/shopify-stores
hr@pelacase.com	pelacase.com	https://pelacase.ca/contact	https://www.shopify.com/blog/shopify-stores
bulkorders@allbirds.com	allbirds.com	https://allbirds.com	https://www.shopify.com/blog/shopify-stores
privacy@allbirds.com	allbirds.com	https://allbirds.com	https://www.shopify.com/blog/shopify-stores
legal@allbirds.com	allbirds.com	https://allbirds.com	https://www.shopify.com/blog/shopify-stores
help@allbirds.com	allbirds.com	https://allbirds.com	https://www.shopify.com/blog/shopify-stores
info@flourist.com	flourist.com	https://flourist.com/pages/contact	https://www.shopify.com/blog/shopify-stores
press@flourist.comfor	flourist.comfor	https://flourist.com/pages/contact	https://www.shopify.com/blog/shopify-stores
orders@flourist.comapply	flourist.comapply	https://flourist.com/pages/contact	https://www.shopify.com/blog/shopify-stores
press@flourist.com	flourist.com	https://flourist.com/pages/contact	https://www.shopify.com/blog/shopify-stores
